example_id                                                    | status  | run_time        |
------------------------------------------------------------- | ------- | --------------- |
./out/test/kitboxer/features/carts/carts_spec.rb[1:1]         | failed  | 0.09461 seconds |
./out/test/kitboxer/features/users/sign_in_spec.rb[1:1]       | failed  | 0.11603 seconds |
./out/test/kitboxer/features/users/sign_in_spec.rb[1:2]       | failed  | 0.11518 seconds |
./out/test/kitboxer/features/users/sign_in_spec.rb[1:3]       | failed  | 0.1294 seconds  |
./out/test/kitboxer/features/users/sign_in_spec.rb[1:4]       | failed  | 0.12918 seconds |
./out/test/kitboxer/features/users/sign_out_spec.rb[1:1]      | failed  | 0.11602 seconds |
./out/test/kitboxer/features/users/user_delete_spec.rb[1:1]   | pending | 0.17639 seconds |
./out/test/kitboxer/features/users/user_edit_spec.rb[1:1]     | failed  | 1.58 seconds    |
./out/test/kitboxer/features/users/user_edit_spec.rb[1:2]     | failed  | 5.99 seconds    |
./out/test/kitboxer/features/users/user_index_spec.rb[1:1]    | failed  | 0.01023 seconds |
./out/test/kitboxer/features/users/user_show_spec.rb[1:1]     | failed  | 0.12017 seconds |
./out/test/kitboxer/features/users/user_show_spec.rb[1:2]     | failed  | 0.12338 seconds |
./out/test/kitboxer/features/visitors/about_page_spec.rb[1:1] | failed  | 32.71 seconds   |
./out/test/kitboxer/features/visitors/home_page_spec.rb[1:1]  | failed  | 0.01565 seconds |
./out/test/kitboxer/features/visitors/navigation_spec.rb[1:1] | failed  | 0.08128 seconds |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:1]    | failed  | 1.78 seconds    |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:2]    | failed  | 1.16 seconds    |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:3]    | failed  | 1.12 seconds    |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:4]    | failed  | 1.14 seconds    |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:5]    | failed  | 1.28 seconds    |
./out/test/kitboxer/features/visitors/sign_up_spec.rb[1:6]    | failed  | 1.36 seconds    |
./out/test/kitboxer/helpers/stores_helper_spec.rb[1:1]        | pending | 0.00001 seconds |
./out/test/kitboxer/models/favorite_spec.rb[1:1]              | pending | 0.00001 seconds |
./out/test/kitboxer/models/image_spec.rb[1:1]                 | pending | 0.00001 seconds |
./out/test/kitboxer/models/order_spec.rb[1:1]                 | pending | 0.00001 seconds |
./out/test/kitboxer/models/product_spec.rb[1:1]               | pending | 0.00002 seconds |
./out/test/kitboxer/models/product_spec.rb[1:2:1]             | passed  | 0.00878 seconds |
